视频类型,版本,结果,视频文件,元数据文件,ffprobe可播放,元数据存在,宽度,高度,fps,帧数,视频时长秒,索引时长秒,时长偏差秒,时长通过,分辨率通过,审计状态,说明
候选诊断片段,gripper_timing_contact_probe_v1_candidate,success=True,outputs/videos/gripper_timing_contact_probe_v1_candidate_seed0.mp4,outputs/videos/gripper_timing_contact_probe_v1_candidate_seed0.json,是,是,640,480,24.00,293,12.208,12.200,0.008,是,是,通过,ffprobe 可解码，元数据存在，时长和分辨率满足展示审计门槛。
补充片段,kaggle_clip_semantic_adapter_core_v2_ood_paraphrase_blue_to_red_v1,success=False,outputs/videos/kaggle_clip_semantic_adapter_core_v2_ood_paraphrase_blue_to_red_seed700.mp4,outputs/videos/kaggle_clip_semantic_adapter_core_v2_ood_paraphrase_blue_to_red_seed700.json,是,是,640,480,30.00,357,11.900,11.900,0.000,是,是,通过,ffprobe 可解码，元数据存在，时长和分辨率满足展示审计门槛。
补充片段,kaggle_clip_semantic_adapter_core_v2_v1_hard_leftmost,success=True,outputs/videos/kaggle_clip_semantic_adapter_core_v2_v1_hard_leftmost_seed1900.mp4,outputs/videos/kaggle_clip_semantic_adapter_core_v2_v1_hard_leftmost_seed1900.json,是,是,640,480,30.00,357,11.900,11.900,0.000,是,是,通过,ffprobe 可解码，元数据存在，时长和分辨率满足展示审计门槛。
补充片段,object_language_action_head_lite_v1_success_example,success=True,outputs/videos/object_language_action_head_lite_v1_seed1_success_example.mp4,outputs/videos/object_language_action_head_lite_v1_seed1_success_example.json,是,是,640,480,24.00,238,9.917,9.900,0.017,是,是,通过,ffprobe 可解码，元数据存在，时长和分辨率满足展示审计门槛。
候选诊断片段,phase_weighted_torch_act_v1_candidate,success=False,outputs/videos/phase_weighted_torch_act_v1_candidate_seed0.mp4,outputs/videos/phase_weighted_torch_act_v1_candidate_seed0.json,是,是,640,480,24.00,238,9.917,9.900,0.017,是,是,通过,ffprobe 可解码，元数据存在，时长和分辨率满足展示审计门槛。
候选诊断片段,preference_contact_aware_trajectory_post_training_v1_candidate,success=True,outputs/videos/preference_contact_aware_trajectory_post_training_v1_candidate_seed0.mp4,outputs/videos/preference_contact_aware_trajectory_post_training_v1_candidate_seed0.json,是,是,640,480,24.00,238,9.917,9.900,0.017,是,是,通过,ffprobe 可解码，元数据存在，时长和分辨率满足展示审计门槛。
候选诊断片段,preference_ranked_trajectory_post_training_v1_candidate,success=True,outputs/videos/preference_ranked_trajectory_post_training_v1_candidate_seed0.mp4,outputs/videos/preference_ranked_trajectory_post_training_v1_candidate_seed0.json,是,是,640,480,24.00,152,6.333,6.300,0.033,是,是,通过,ffprobe 可解码，元数据存在，时长和分辨率满足展示审计门槛。
候选诊断片段,preference_trajectory_post_training_v1_candidate,success=True,outputs/videos/preference_trajectory_post_training_v1_candidate_seed0.mp4,outputs/videos/preference_trajectory_post_training_v1_candidate_seed0.json,是,是,640,480,24.00,238,9.917,9.900,0.017,是,是,通过,ffprobe 可解码，元数据存在，时长和分辨率满足展示审计门槛。
候选诊断片段,preference_trajectory_post_training_v1_ranked_fast_candidate,success=True,outputs/videos/preference_trajectory_post_training_v1_ranked_fast_candidate_seed0.mp4,outputs/videos/preference_trajectory_post_training_v1_ranked_fast_candidate_seed0.json,是,是,640,480,24.00,238,9.917,9.900,0.017,是,是,通过,ffprobe 可解码，元数据存在，时长和分辨率满足展示审计门槛。
候选诊断片段,preference_trajectory_post_training_v1_ranked_objective_candidate,success=False,outputs/videos/preference_trajectory_post_training_v1_ranked_objective_candidate_seed0.mp4,outputs/videos/preference_trajectory_post_training_v1_ranked_objective_candidate_seed0.json,是,是,640,480,24.00,238,9.917,9.900,0.017,是,是,通过,ffprobe 可解码，元数据存在，时长和分辨率满足展示审计门槛。
候选诊断片段,preference_trajectory_post_training_v1_tcp_lift_rank_candidate,success=True,outputs/videos/preference_trajectory_post_training_v1_tcp_lift_rank_candidate_seed0.mp4,outputs/videos/preference_trajectory_post_training_v1_tcp_lift_rank_candidate_seed0.json,是,是,640,480,24.00,238,9.917,9.900,0.017,是,是,通过,ffprobe 可解码，元数据存在，时长和分辨率满足展示审计门槛。
候选诊断片段,timing_aware_trajectory_prior_residual_bc_v1_candidate,success=True,outputs/videos/timing_aware_trajectory_prior_residual_bc_v1_candidate_seed0.mp4,outputs/videos/timing_aware_trajectory_prior_residual_bc_v1_candidate_seed0.json,是,是,640,480,24.00,293,12.208,12.200,0.008,是,是,通过,ffprobe 可解码，元数据存在，时长和分辨率满足展示审计门槛。
候选诊断片段,trajectory_phase_template_bc_v1_candidate,success=True,outputs/videos/trajectory_phase_template_bc_v1_candidate_seed1.mp4,outputs/videos/trajectory_phase_template_bc_v1_candidate_seed1.json,是,是,640,480,24.00,238,9.917,9.900,0.017,是,是,通过,ffprobe 可解码，元数据存在，时长和分辨率满足展示审计门槛。
候选诊断片段,trajectory_prior_residual_bc_v1_candidate,success=True,outputs/videos/trajectory_prior_residual_bc_v1_candidate_seed0.mp4,outputs/videos/trajectory_prior_residual_bc_v1_candidate_seed0.json,是,是,640,480,24.00,238,9.917,9.900,0.017,是,是,通过,ffprobe 可解码，元数据存在，时长和分辨率满足展示审计门槛。
